UID,Source_Name,Name_in_2018_paper_db,ra,dec,bestLum,Lum_2020,lum_from_2018_paper,Dist_from_2018_paper,Vsys_in_km_per_s,objClass_sym,objClass_int
37,J0414+0534,null,63.65738,5.578444,10000,10000,0,0,z=2.64,?,0
38,J0437+2456,WISEP J043703.69+245606.9,69.26529,24.93522,178,178,178,69.1,4835,D,5
39,J0437+6637,2MASXJ04370825+6637424,69.28442,66.62842,20,20,20,53.9,3770,D?,4
40,IRAS+04385-0828,IRAS04385-0828,70.22904,-8.372833,43,43,43,64.7,4527,?,0
41,UGC_3157,UGC3157,71.624,18.46092,85,?,85,66,4619,?,0
42,UGC_3193,UGC3193,73.21958,3.056667,270,270,270,63.6,4454,?,0
43,Mrk_1089,Mrk1089,75.40733,-4.257889,15,15,15,57.4,4019,?,0
44,CGCG468-002_Ned01,CGCG468-002,77.08204,17.36336,35,35,35,75,5248,?,0
45,UGC+3255,UGC3255,77.45917,7.483333,16,16,16,81,5669,?,0
46,LMC,null,80.89167,-69.75611,0,?,0,0,278,SF,1
47,UGCA_116,UGCA116,88.92763,3.392167,3,3,3,11.3,789,SF?,1
48,Mrk_3,Mrk3,93.90125,71.0375,10,10,10,57.9,4050,?,0
49,NGC_2146,NGC2146,94.6525,78.35778,1,1,1,12.8,900,SF,1
50,VII_Zw 073,VIIZw073,97.60667,63.67805,137,?,137,177,11899,?,0
51,NGC_2273,NGC2273,102.5362,60.84583,32,32,32,26.3,1840,D,5
52,ESO558-G009,ESO558-G009,106.0876,-21.58867,766,766,766,109.6,7674,D,5
53,UGC_3789,UGC3789,109.8817,59.35583,370,370,370,47.5,3243,D,5
54,NGC_2410,NGC2410,113.7592,32.82222,14,14,14,64.2,4681,?,0
55,Mrk_78,Mrk78,115.6738,65.17694,32,32,32,159.1,11137,?,0
56,IC_485,IC485,120.0824,26.70144,1060,1060,1060,119.1,8338,D?,4
57,Mrk_1210,Mrk1210,121.0242,5.113889,80,80,80,57.8,4046,D?,4
58,J0804+3607,null,121.1292,36.12167,23000,23000,0,0,z=0.66,?,0
59,He_2-10,He2-10,129.0638,-26.40833,0.7,0.7,0.7,12.5,?,SF,1
60,J0836+3327,2MASXJ08362280+3327383,129.095,33.46083,800,800,800,211.6,14810,D?,4
61,NGC 2639,NGC2639,130.9088,50.20555,25,25,25,47.7,3336,?,0
62,J0847-0022,2MASXJ08474769-0022514,131.9487,-0.3809444,2210,?,2210,218.2,15275,?,0
63,CGCG120-039,CGCG120-039,132.3087,23.38028,154,?,154,109.8,7684,?,0
64,J0905+0328,2MASXJ09053008+0328232,136.3755,3.473,132,?,132,120.3,8424,?,0
65,NGC_2781,NGC2781,137.8647,-14.81683,14,14,14,29.3,2053,?,0
66,J0912+2304,2MASXJ09124641+2304273,138.1933,23.07425,143,143,143,155.6,10889,?,0
67,NGC_2782,NGC2782,138.5213,40.11361,13,13,13,36.6,2562,SF,1
68,NGC_2785,null,138.8142,40.91753,0,?,0,0,2622,?,0
69,NGC_2824,NGC2824,139.7592,26.27,500,500,500,39.4,2760,?,0
70,SBS0927+493,SBS0927+493,142.7779,49.07972,280,?,280,146.3,10240,?,0
71,UGC_5101,UGC5101,143.965,61.35305,1900,1900,1900,168.6,11809,?,0
72,Mrk_1419,Mrk1419,145.1517,3.576944,400,400,400,70.5,4932,D,5
73,NGC_2979,NGC2979,145.7858,-10.38333,125,125,125,38.9,2720,?,0
74,NGC_2989,NGC2989,146.3575,-18.37667,40,40,40,59.2,4172,?,0
75,M_82,M82,148.9675,69.67973,200,1,200,3.7,200,SF,1
76,NGC_3081,NGC3081,149.8729,-22.82639,17,17,17,33.8,2391,?,0
